,catid,type
792,220450,3.0
793,220465,0.5
794,220499,1.0
795,220502,1.0
796,220515,3.0
797,220578,3.0
798,220687,3.0
799,220750,3.0
800,220751,3.0
801,220951,3.0
802,221014,1.5
803,221050,3.0
804,221052,1.5
805,221194,3.0
806,221369,3.0
807,221375,3.0
808,221432,3.0
809,227036,3.0
810,227079,3.0
811,227123,2.0
812,227134,3.0
813,227168,3.0
814,227176,3.0
815,227223,3.0
816,227230,3.0
817,227264,1.5
818,227266,0.0
819,227278,1.0
820,227289,3.0
821,227290,5.0
822,227317,3.0
823,227351,2.5
824,227371,3.0
825,227407,3.0
826,227428,2.5
827,227572,3.0
828,227607,2.0
829,227611,1.0
830,227614,2.0
831,227617,0.0
832,227618,2.5
833,227673,3.0
834,227905,1.0
835,227961,2.5
836,227970,3.0
837,228066,1.5
838,228086,3.0
839,228104,-9.0
840,228105,2.0
841,228278,3.0
842,228349,2.5
843,228428,3.0
844,228432,3.0
845,228433,3.0
846,228564,2.0
847,228570,2.0
848,228575,-9.0
849,228608,2.5
850,228708,0.0
851,228740,2.0
852,228767,-9.0
853,229097,3.0
854,229163,2.0
855,229164,0.5
856,229167,2.5
857,229220,-9.0
858,229263,3.0
859,229335,3.0
860,229369,3.0
861,229461,3.0
862,230174,3.0
863,230421,1.0
864,230455,0.5
865,230556,0.0
866,230560,3.0
867,230567,1.0
868,230634,2.0
869,230683,0.0
870,230714,2.5
871,230719,3.0
872,230774,3.0
873,230776,0.0
874,230777,-9.0
875,230786,0.0
876,230787,0.0
877,230789,0.5
878,230793,1.0
879,230796,-9.0
880,230797,0.0
881,230813,3.0
882,230829,3.0
883,230836,2.0
884,230837,-9.0
885,230880,1.0
886,230884,3.0
887,230898,-9.0
888,230901,3.0
889,231024,3.0
890,231528,1.5
891,237990,3.0
892,238072,3.0
893,238080,3.0
894,238085,3.0
895,238094,3.0
896,238125,3.0
897,238131,3.0
898,238164,3.0
899,238203,1.5
900,238204,2.0
901,238211,0.0
902,238212,0.0
903,238213,1.5
904,238214,0.5
905,238216,1.5
906,238221,3.0
907,238276,1.0
908,238282,1.0
909,238325,0.5
910,238328,3.0
911,238350,2.0
912,238351,2.0
913,238358,2.0
914,238360,3.0
915,238369,2.5
916,238395,3.0
917,238398,-9.0
918,238406,3.0
919,238412,1.0
920,238453,0.5
921,238458,0.0
922,238496,1.5
923,238500,0.0
924,238922,0.0
925,239092,3.0
926,239109,2.0
927,239172,3.0
928,239249,3.0
929,239292,0.5
930,239376,3.0
931,239490,3.0
932,239560,2.5
933,240108,3.0
934,240202,3.0
935,240205,3.0
936,240227,2.5
937,240263,2.5
938,240352,1.5
939,240432,2.0
940,240449,3.0
941,250179,-9.0
942,250183,0.5
943,250192,1.5
944,250243,0.0
945,250277,3.0
946,250466,2.5
947,250473,2.0
948,251297,3.0
949,251367,3.0
950,251887,2.0
951,252005,2.0
952,252008,-9.0
953,252021,2.0
954,252057,0.5
955,252074,3.0
956,252091,3.0
957,271385,2.0
958,271387,1.0
959,271431,1.5
960,271455,2.0
961,271465,3.0
962,271481,1.5
963,271538,0.5
964,271562,3.0
965,271610,1.5
966,272190,0.0
967,272298,2.0
968,272439,1.0
969,272443,2.0
970,272488,0.5
971,272543,3.0
972,272571,3.0
973,272667,3.0
974,272748,3.0
975,272820,0.0
976,272822,3.0
977,272831,0.5
978,272833,0.5
979,272990,0.5
980,272995,1.5
981,272996,3.0
982,273092,3.0
983,273242,3.0
984,273256,1.5
985,273296,3.0
986,273309,3.0
987,273336,1.0
988,273514,3.0
989,273577,3.0
990,273654,1.0
991,273750,3.0
992,273845,0.0
993,273850,1.0
994,273889,1.5
995,273925,3.0
996,273951,3.0
997,273952,3.0
998,273966,-9.0
999,273976,-9.0
1000,273986,3.0
1001,278074,3.0
1002,278109,1.5
1003,278350,0.5
1004,278390,2.0
1005,278548,3.0
1006,278554,3.0
1007,278643,3.0
1008,278684,3.0
1009,278702,3.0
1010,278703,3.0
1011,278736,1.5
1012,278741,3.0
1013,278760,3.0
1014,278773,5.0
1015,278787,3.0
1016,278802,1.5
1017,278804,1.5
1018,278812,3.0
1019,278826,3.0
1020,278840,0.5
1021,278846,3.0
1022,278855,3.0
1023,278909,3.0
1024,278995,3.0
1025,279066,3.0
1026,279148,2.5
1027,279160,3.0
1028,279261,2.5
1029,279818,3.0
1030,279840,1.0
1031,279878,0.0
1032,279886,3.0
1033,279891,3.0
1034,279905,0.5
1035,279910,0.5
1036,279917,3.0
1037,279932,0.0
1038,279943,3.0
1039,287692,0.5
1040,287824,2.5
1041,287827,1.5
1042,288364,3.0
1043,288424,3.0
1044,288461,3.0
1045,288679,1.0
1046,288694,0.5
1047,288756,-9.0
1048,288777,3.0
1049,288801,5.0
1050,288803,0.0
1051,288851,2.0
1052,288891,-9.0
1053,288903,3.0
1054,288904,2.5
1055,288923,-9.0
1056,288982,1.0
1057,288989,2.5
1058,288992,2.0
1059,288999,3.0
1060,289085,-9.0
1061,289089,1.0
1062,289095,-9.0
1063,289096,0.5
1064,289097,1.5
1065,289102,1.0
1066,289107,3.0
1067,289109,-9.0
1068,289112,-9.0
1069,289113,1.0
1070,289116,3.0
1071,289118,1.5
1072,289168,0.5
1073,289170,1.0
1074,289176,-9.0
1075,289185,3.0
1076,289194,-9.0
1077,289197,1.5
1078,289198,1.5
1079,289200,3.0
1080,289217,3.0
1081,289279,3.0
1082,289427,3.0
1083,289429,3.0
1084,289957,1.5
1085,290052,3.0
1086,290071,3.0
1087,290323,1.0
1088,290328,2.0
1089,290396,3.0
1090,290423,3.0
1091,296599,3.0
1092,296638,2.0
1093,296639,2.5
1094,296677,1.5
1095,296685,3.0
1096,296713,3.0
1097,296725,2.5
1098,296742,3.0
1099,296798,2.5
1100,296829,1.5
1101,296847,3.0
1102,296848,3.0
1103,296927,1.0
1104,296934,2.5
1105,297053,1.5
1106,297557,3.0
1107,297633,2.5
1108,297667,2.5
1109,297694,3.0
1110,297705,3.0
1111,298042,3.0
1112,298106,3.0
1113,298114,2.5
1114,298190,3.0
1115,298572,2.5
1116,298590,0.0
1117,298591,1.5
1118,298612,3.0
1119,298665,3.0
1120,298666,2.5
1121,298738,3.0
1122,298862,2.5
1123,298888,3.0
1124,298980,-9.0
1125,300350,3.0
1126,300372,-9.0
1127,300406,0.5
1128,300411,0.0
1129,300477,3.0
1130,300613,3.0
1131,300659,0.0
1132,300691,0.0
1133,300787,1.0
1134,300821,3.0
1135,300887,3.0
1136,301098,3.0
1137,301191,1.5
1138,301199,1.5
1139,301201,1.5
1140,301346,2.5
1141,301381,2.5
1142,301382,3.0
1143,301519,0.0
1144,301799,-9.0
1145,301885,3.0
1146,301893,-9.0
1147,301937,0.5
1148,301994,1.0
1149,302006,3.0
1150,302657,3.0
1151,302684,1.0
1152,302810,2.5
1153,302846,3.0
1154,302973,3.0
1155,302994,3.0
1156,303099,2.0
1157,318936,3.0
1158,319018,3.0
1159,319020,3.0
1160,319049,2.5
1161,319057,3.0
1162,319059,1.0
1163,319060,1.0
1164,319064,2.5
1165,319067,1.0
1166,319070,0.5
1167,319139,3.0
1168,319150,3.0
1169,319157,1.5
1170,319196,0.5
1171,319197,1.5
1172,319231,0.0
1173,319243,3.0
1174,319272,3.0
1175,319290,3.0
1176,319293,0.5
1177,319299,1.5
1178,319381,3.0
1179,319385,1.5
1180,319393,3.0
1181,319395,0.5
1182,319397,2.0
1183,319400,2.0
1184,319402,1.0
1185,319452,1.0
1186,319453,2.0
1187,319499,3.0
1188,320068,3.0
1189,320124,3.0
1190,320254,3.0
1191,320281,3.0
1192,321022,3.0
1193,321035,1.0
1194,321059,1.0
1195,321146,0.5
1196,321207,3.0
1197,322910,3.0
1198,323133,3.0
1199,323194,3.0
1200,323224,3.0
1201,323242,-9.0
1202,323329,2.0
1203,323504,2.0
1204,323505,2.5
1205,323507,3.0
1206,323541,1.0
1207,323558,1.5
1208,323566,0.0
1209,323575,3.0
1210,323577,3.0
1211,323593,0.5
1212,323854,1.5
1213,323855,2.5
1214,323874,3.0
1215,323888,3.0
1216,324157,-9.0
1217,324179,3.0
1218,324323,3.0
1219,324351,1.5
1220,324753,3.0
1221,324799,3.0
1222,324865,3.0
1223,324963,2.0
1224,325001,3.0
1225,325007,2.0
1226,325321,1.0
1227,325376,3.0
1228,325378,2.0
1229,325390,3.0
1230,325441,5.0
1231,325467,0.5
1232,325533,2.5
1233,325536,2.5
1234,345646,3.0
1235,345682,3.0
1236,345754,1.5
1237,345758,0.0
1238,345767,0.5
1239,345820,1.5
1240,345845,0.0
1241,345848,0.0
1242,346046,1.0
1243,346257,3.0
1244,346440,3.0
1245,346475,3.0
1246,346504,1.5
1247,346623,0.5
1248,346680,3.0
1249,346718,3.0
1250,346752,2.0
1251,346793,3.0
1252,346837,0.0
1253,346839,1.0
1254,346842,3.0
1255,346861,3.0
1256,346887,0.5
1257,346890,1.0
1258,346892,2.0
1259,346894,1.5
1260,347263,3.0
1261,347432,1.0
1262,347470,2.0
1263,347471,0.5
1264,347522,3.0
1265,347570,3.0
1266,347571,2.5
1267,347769,2.5
1268,348048,2.0
1269,348115,1.0
1270,348116,2.0
1271,348118,2.0
1272,365316,3.0
1273,365334,2.0
1274,370997,0.5
1275,371037,3.0
1276,371145,1.5
1277,371170,2.0
1278,371171,0.0
1279,371172,0.0
1280,371227,-9.0
1281,371633,2.0
1282,371714,1.5
1283,371750,3.0
1284,371789,2.0
1285,371882,0.5
1286,371889,1.5
1287,371943,1.5
1288,371959,3.0
1289,371976,1.0
1290,372074,3.0
1291,372105,1.5
1292,372123,0.0
1293,372129,3.0
1294,372133,0.5
1295,372320,3.0
1296,372374,3.0
1297,372384,-9.0
1298,372408,1.0
1299,372446,-9.0
1300,372452,0.5
1301,372541,3.0
1302,372568,2.5
1303,372599,2.5
1304,373105,1.5
1305,373163,0.0
1306,373168,0.0
1307,373173,1.0
1308,373202,3.0
1309,373237,0.0
1310,373248,3.0
1311,373284,2.0
1312,375376,3.0
1313,375402,3.0
1314,375531,3.0
1315,375560,0.5
1316,375564,1.0
1317,375610,3.0
1318,375615,0.5
1319,375751,2.0
1320,375904,3.0
1321,376001,-9.0
1322,376033,0.0
1323,376097,1.0
1324,376121,2.0
1325,376136,3.0
1326,376161,3.0
1327,376163,3.0
1328,376165,3.0
1329,376184,3.0
1330,376185,3.0
1331,376282,3.0
1332,376293,2.0
1333,376340,3.0
1334,376379,3.0
1335,376478,3.0
1336,376587,2.5
1337,376679,2.0
1338,376703,0.0
1339,376802,2.0
1340,376990,2.5
1341,377348,3.0
1342,377562,1.5
1343,377597,2.5
1344,377666,1.5
1345,377710,0.5
1346,377892,3.0
1347,377962,3.0
1348,378060,3.0
1349,378104,1.0
1350,378142,3.0
1351,380578,0.0
1352,380682,3.0
1353,380697,1.0
1354,380734,0.0
1355,381156,1.5
1356,381157,1.0
1357,381159,2.5
1358,381160,1.0
1359,381206,0.0
1360,381207,1.0
1361,381215,3.0
1362,381219,0.5
1363,381221,1.0
1364,381225,3.0
1365,381229,0.0
1366,381502,3.0
1367,381802,3.0
1368,381979,1.0
1369,382152,2.5
1370,382154,0.0
1371,382158,1.0
1372,382505,0.0
1373,382538,1.0
1374,382563,0.5
1375,382631,2.5
1376,382659,1.0
1377,382731,2.5
1378,382764,3.0
1379,383033,3.0
1380,383130,3.0
1381,383147,1.0
1382,383259,2.0
1383,383283,2.5
1384,383318,3.0
1385,386264,3.0
1386,386268,1.0
1387,386285,2.0
1388,386286,3.0
1389,386316,1.5
1390,386366,2.0
1391,386402,2.0
1392,386431,3.0
1393,386673,0.5
1394,386720,2.0
1395,386722,0.5
1396,386892,1.5
1397,386898,2.5
1398,387041,3.0
1399,387042,1.0
1400,387080,1.5
1401,387553,0.5
1402,387675,1.5
1403,387687,3.0
1404,387690,3.0
1405,387715,1.0
1406,387719,3.0
1407,388146,1.0
1408,388200,2.5
1409,388390,3.0
1410,388424,2.0
1411,388451,3.0
1412,388476,2.0
1413,388479,3.0
1414,388513,0.5
1415,388552,1.0
1416,388558,1.0
1417,388603,3.0
1418,396584,2.0
1419,396607,2.0
1420,396615,1.5
1421,396621,1.5
1422,396709,2.5
1423,396781,1.5
1424,396833,2.0
1425,397449,3.0
1426,402934,3.0
1427,402988,-9.0
1428,417392,3.0
1429,417424,3.0
1430,417433,2.0
1431,417440,0.0
1432,417441,2.0
1433,417453,2.0
1434,417471,-9.0
1435,417486,0.5
1436,417568,3.0
1437,417580,0.5
1438,417678,2.5
1439,418047,3.0
1440,418086,1.5
1441,418624,2.5
1442,418630,1.0
1443,418693,1.5
1444,418725,2.0
1445,418737,-9.0
1446,418795,3.0
1447,418831,3.0
1448,418971,3.0
1449,419205,3.0
1450,419294,1.0
1451,419299,3.0
1452,419334,3.0
1453,419335,1.0
1454,419345,1.0
1455,419549,2.5
1456,419632,3.0
1457,422286,2.0
1458,422289,2.5
1459,422291,0.0
1460,422292,1.0
1461,422320,3.0
1462,422355,3.0
1463,422359,1.5
1464,422366,3.0
1465,422389,0.0
1466,422406,0.0
1467,422411,-9.0
1468,422436,1.5
1469,422443,1.5
1470,422446,1.5
1471,422464,3.0
1472,422486,3.0
1473,422501,3.0
1474,422610,3.0
1475,422619,3.0
1476,422639,3.0
1477,422649,2.0
1478,422683,3.0
1479,422721,3.0
1480,422761,2.0
1481,422888,3.0
1482,422907,-9.0
1483,422921,3.0
1484,422933,2.0
1485,423267,1.0
1486,423270,2.0
1487,423416,3.0
1488,423784,1.5
1489,457505,3.0
1490,457615,1.5
1491,460374,2.0
