,catid,ra_obj,dec_obj,r_petro,r_auto,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,g_i,mstar,r_on_rtwo,v_on_sigma,is_mem,surv_sami,bad_class
13,9011900019,14.081987296111,-1.28626862128207,18.012878,18.02793,0.04356998,-18.472425,0.8012876,19.313261,20.377289,22.020163,0.24815811,136.27505,1.2216167,9.553915,0.052732922,-0.21419111,1,7,0
14,9011900020,14.0873790388321,-1.22585799047703,17.937412,17.87651,0.036599126,-18.617653,4.1025453,21.539532,22.748575,24.355566,0.63658094,205.79399,1.0849686,9.501628,0.05504387,-2.6071541,1,7,0
15,9011900024,14.1066191825652,-1.26247164501506,13.447802,13.393762,0.038231876,-23.101175,14.154416,20.742153,22.202436,23.76917,0.14158277,122.804115,1.2745686,11.460869,0.061685305,-2.0452347,1,7,0
16,9011900025,14.0735016341419,-1.29539913330802,17.394276,17.396564,0.0472295,-19.107056,1.975591,20.279413,21.600061,23.186451,0.37979275,125.814476,1.221386,9.805207,0.06235633,1.0356842,1,7,0
17,9011900026,14.102856099287,-1.27846422839776,17.45619,16.57982,0.03740503,-19.914854,3.164202,21.195738,22.227749,23.880344,0.29454967,245.385,1.1572647,10.112734,0.065412894,-2.3296893,1,7,0
18,9011900027,14.1079336730626,-1.27500326281999,14.84501,14.66293,0.043533683,-21.837358,4.784761,19.893383,21.441301,22.998339,0.037235722,106.23502,1.2682447,10.948296,0.06962539,-0.22660947,1,7,0
19,9011900030,14.0951743265695,-1.20975048810049,13.802969,13.829848,0.049786303,-22.674923,7.165518,19.471252,20.627943,22.246521,0.45158967,116.5305,1.1535511,11.178338,0.08236754,1.906335,1,8,0
20,9011900033,14.0675800303226,-1.31379668779796,17.064156,15.502544,0.042394046,-20.991253,2.5316947,19.66172,20.772173,22.402214,0.13026446,218.62492,0.6027718,10.170036,0.08989399,-0.616751,1,8,1
21,9011900034,14.1217149303365,-1.22675009611771,16.439993,16.128483,0.03815352,-20.366999,nan,nan,nan,nan,nan,nan,1.1864595,10.291659,0.09477962,-2.0721807,1,7,0
22,9011900035,14.1216643700894,-1.22549273067669,16.410944,16.410454,0.044108227,-20.090176,2.6684382,20.427742,21.709858,23.302795,0.020701475,287.41525,1.1598797,10.153954,0.095625505,-0.030082213,1,7,3
23,9011900036,14.0168603561339,-1.21747760183174,17.525187,17.461006,0.0437005,-19.039038,2.2120135,20.972837,22.258793,23.851053,0.183999,262.23752,1.093401,9.669677,0.09686328,-0.16953677,1,7,0
24,9011900037,14.0356972647295,-1.20019078621456,17.68626,17.66484,0.037788566,-18.830372,1.2058346,19.38077,20.43559,22.081184,0.51050615,202.46881,1.1340885,9.636428,0.09771312,-2.1977158,1,7,0
25,9011900038,14.0044289421945,-1.23912740177965,17.894125,17.855524,0.04461171,-18.644579,2.9342797,21.148596,22.02816,23.739435,0.6641265,187.41843,1.0763685,9.506463,0.099659935,0.14204958,1,7,0
26,9011900040,13.9999471843941,-1.2711948111889,17.865034,17.758753,0.04430916,-18.742142,1.7143006,20.733673,21.7824,23.429827,0.24694332,178.2967,1.2210253,9.64985,0.10619762,0.038623553,1,7,0
27,9011900044,14.0462034237683,-1.32835204988117,17.625732,17.551512,0.037302848,-18.942713,1.4749354,20.09907,21.043139,22.72676,0.3111614,224.80875,1.0370007,9.605449,0.11681654,-2.3648574,1,7,0
28,9011900045,13.99137156215,-1.23989317635675,16.755444,16.714882,0.04455142,-19.786306,1.7934108,19.776571,20.94124,22.557962,0.20654333,151.62665,1.1791267,10.043321,0.11896777,0.12144191,1,7,0
29,9011900046,14.1435844246739,-1.28025016189935,18.402561,18.39322,0.05239958,-18.107433,2.7915184,21.721804,22.695263,24.367744,0.59019,146.25008,0.8855648,9.113859,0.12364288,2.794004,1,3,0
30,9011900048,14.0874983969279,-1.17663772140593,14.749536,14.744415,0.039110404,-21.751873,5.52308,19.675196,20.793314,22.42137,0.5239581,210.13667,1.2332134,10.890302,0.12511094,-1.743246,1,7,0
31,9011900049,14.1486419384503,-1.26553151730749,16.55273,16.43032,0.044254817,-20.070494,4.686948,21.110422,22.471125,24.051266,0.41088912,105.575775,1.1745796,10.159362,0.12631899,0.020042786,1,7,0
32,9011900051,13.9962126740417,-1.30043579962424,15.545835,15.503294,0.04872503,-21.001677,3.0859733,19.584635,20.90075,22.487883,0.25487778,252.66154,1.2430887,10.581162,0.12927866,1.5452074,1,7,0
33,9011900054,13.9900886522788,-1.29054047183726,16.48917,16.50143,0.050709747,-20.00296,13.402693,23.392298,25.274046,26.806545,0.08379134,191.92012,1.0796719,10.041541,0.13029958,2.2202625,1,7,0
34,9011900055,14.1086886577782,-1.18142887693819,18.79157,18.7714,0.0473727,-17.727179,1.0095786,20.280317,21.22085,22.90587,0.4730055,141.72026,0.9623737,9.053341,0.13047627,1.0845038,1,3,0
35,9011900057,13.9819692061225,-1.24719596288707,14.369579,14.195179,0.04069311,-22.302422,4.2612762,18.549997,19.752754,21.361065,0.5697016,272.05716,1.2520189,11.12023,0.13162485,-1.1998372,1,7,0
36,9011900058,14.1113807521954,-1.33025991912578,17.544632,17.430101,0.04855592,-19.059721,5.4836674,22.234703,23.532997,25.12312,0.5324699,264.81393,0.5200711,9.216757,0.13380712,1.487629,1,3,0
37,9011900060,13.9792576343111,-1.24684871441938,16.175915,15.821805,0.04522017,-20.68005,2.286708,19.599243,20.671257,22.311821,0.42807627,113.005035,1.2221613,10.437518,0.13582775,0.34995958,1,7,8
38,9011900068,13.9831387943909,-1.2973197831752,17.543917,17.535187,0.045983512,-18.96716,2.2598004,20.901247,22.201334,23.79115,0.27217135,162.20526,1.1512336,9.685364,0.14444377,0.6106214,1,7,0
39,9011900072,14.0295765895374,-1.34331167341611,15.425984,15.349905,0.04620725,-21.152842,5.885584,20.560564,21.977112,23.549387,0.35230437,98.89072,1.2443428,10.645508,0.14712767,0.6869858,1,7,0
40,9011900073,14.1351169598402,-1.18747523066132,16.399101,16.367311,0.03859032,-20.12846,0.9771018,18.292383,19.59214,21.182013,0.054935496,132.07376,1.2127314,10.217698,0.14778838,-1.9219913,1,7,0
41,9011900074,14.0112292544339,-1.33438480068325,14.210192,14.166082,0.04278983,-22.333414,6.3446355,20.08106,21.431826,23.013468,0.04206126,161.16327,1.2787819,11.154631,0.14891954,-0.48121008,1,7,0
42,9011900078,14.16577086125,-1.23614393384464,17.883825,17.845884,0.043706372,-18.654379,2.3218737,20.837095,21.693466,23.415907,0.5935215,173.87871,1.1079636,9.52447,0.15455283,-0.1675283,1,7,0
43,9011900080,14.1222061011073,-1.34013490754116,16.358955,16.328356,0.04399575,-20.172401,1.2391135,18.724659,19.937622,21.5438,0.09237728,121.96775,1.2228622,10.239025,0.15549643,-0.06854757,1,7,0
44,9011900081,14.1592555147076,-1.2980166143477,18.564396,18.055107,0.04197237,-18.440962,1.9446687,21.913433,22.915163,24.577682,0.004674816,244.96918,1.2609081,9.672258,0.15612867,-0.7612147,1,7,8
45,9011900082,14.1279804846512,-1.17287783556346,15.255657,15.150428,0.042158056,-21.348635,4.362662,19.716206,21.155727,22.725029,0.4137453,185.38487,1.180604,10.679285,0.15768035,-0.69759256,1,7,0
46,9011900084,14.16253310651,-1.29509954671485,14.814039,14.7994795,0.050326977,-21.701195,6.7258296,20.002632,20.714483,22.52586,0.6432465,101.74915,0.9873304,10.658336,0.15893792,2.0901728,1,8,0
47,9011900086,14.1129302378979,-1.34834402255415,17.009783,16.936884,0.049984407,-19.568558,1.502967,19.20121,20.567293,22.146635,0.41192713,99.79756,1.1668777,9.940234,0.1594365,1.9737045,1,7,0
48,9011900087,13.9649272819421,-1.23447400511692,16.536968,16.351078,0.03855744,-20.144104,5.2203918,21.792786,22.75404,24.431047,0.08479353,197.50386,1.1297159,10.186275,0.16048948,-1.9332944,1,7,0
49,9011900089,14.0489411897167,-1.35977573294436,17.710175,17.706425,0.041431416,-18.791918,2.499175,21.24579,22.187437,23.872015,0.3609279,135.75974,1.1099625,9.5869465,0.16305543,-0.9466276,1,7,0
50,9011900091,14.0597069562241,-1.14434613994375,16.121931,16.082392,0.044955246,-20.419127,3.5489285,19.914042,21.020178,22.651354,0.58029926,155.84564,1.1514864,10.266267,0.17119756,0.25945014,1,7,0
51,9011900095,13.9632414953732,-1.30636294123268,17.247688,17.262098,0.044444077,-19.23895,3.32624,20.832499,21.963554,23.588335,0.61366457,230.53122,1.1580333,9.804272,0.17804453,0.08474776,1,7,0
52,9011900096,13.9965846599021,-1.16350415371817,17.005995,16.999695,0.04594328,-19.502542,2.9520538,20.485023,21.621502,23.24494,0.5510031,136.98897,1.1503296,9.9015665,0.17820877,0.5968876,1,7,0
53,9011900097,14.1709484403845,-1.30734338532248,17.19755,17.16252,0.046673775,-19.340168,1.2456899,19.054188,20.201277,21.822136,0.45455775,155.95132,1.1538008,9.843629,0.17856261,0.8461643,1,7,0
54,9011900100,14.0436037847755,-1.14018139775835,15.874672,15.845272,0.048277084,-20.65895,2.7644145,19.440926,20.453362,22.112288,0.4670971,148.11113,1.1668644,10.375867,0.18088509,1.3926699,1,7,0
55,9011900101,14.1026055610503,-1.1429285764416,15.033468,15.050899,0.043048248,-21.447395,7.1920133,19.199654,19.959599,21.737091,0.8893194,225.41658,1.0432348,10.607017,0.18138827,-0.39274058,1,8,0
56,9011900103,14.0767309755829,-1.13452627187454,16.076202,16.050444,0.036755264,-20.443827,2.818618,19.29692,20.613058,22.200188,0.59300846,179.07608,1.1817913,10.32576,0.18650569,-2.5533807,1,7,0
57,9011900107,14.1314918134948,-1.36162938002421,16.101797,16.052418,0.042359304,-20.446545,3.566762,20.63263,22.165203,23.723814,0.000109800174,121.855995,1.1168022,10.261118,0.19110547,-0.62865126,1,7,0
58,9011900111,13.9450331429189,-1.28548814625489,16.609413,16.565844,0.03994764,-19.924677,5.4652987,21.838028,22.86614,24.519974,0.30174935,245.56526,0.3094902,9.396285,0.19346645,-1.4556861,1,3,0
59,9011900113,14.1575036429589,-1.34477002638892,17.844881,17.84748,0.041353703,-18.65055,1.8835601,20.126038,20.987692,22.707527,0.66341174,145.45258,1.1627007,9.599499,0.1955329,-0.97327185,1,7,0
60,9011900115,14.0206721514828,-1.13594033184973,17.274103,17.252413,0.044962496,-19.248613,3.4194536,21.711878,22.783789,24.424383,0.1518493,192.34155,1.1198311,9.780833,0.19716518,0.26192716,1,7,0
61,9011900118,14.1881559318236,-1.29999295962006,17.02966,17.03831,0.046292152,-19.463762,3.281054,20.76067,21.81381,23.459906,0.5591759,164.47417,1.104269,9.847,0.19838372,0.71596,1,7,0
62,9011900120,14.0467152769506,-1.12713445905791,16.90979,16.77627,0.047072172,-19.726467,3.5763886,19.856586,20.16798,22.715206,0.84596443,187.84622,1.1654474,10.016715,0.19978334,0.98204106,1,7,0
63,9011900121,14.0712243972469,-1.38525124341212,16.887299,16.908678,0.04289305,-19.590937,2.322651,19.573933,20.63418,22.278164,0.67463875,118.2533,1.1348553,9.928964,0.19992524,-0.44587094,1,7,0
64,9011900123,14.1611426806924,-1.35180087071184,16.399715,16.376335,0.044617474,-20.124723,1.7624207,18.70105,19.952168,21.55079,0.5736427,145.96158,1.1631536,10.17018,0.2071543,0.14401938,1,7,0
65,9011900124,13.9369913395274,-1.21594196951058,16.828753,16.805872,0.041748602,-19.69268,2.112302,19.476692,20.872248,22.447372,0.5778956,229.61775,1.1299706,9.971561,0.2091957,-0.8378999,1,7,0
66,9011900125,13.963050634135,-1.16472866960443,15.51798,15.517859,0.047675494,-20.986212,3.9245424,19.852978,20.99813,22.619455,0.4555658,160.91103,1.2620907,10.5898075,0.21233878,1.1877102,1,7,0
67,9011900127,14.044466028421,-1.11691752659314,14.513607,14.4380665,0.041749552,-22.060516,8.976684,20.603382,22.026674,23.598063,0.3279763,235.86963,1.2775679,11.049059,0.21585311,-0.8375743,1,7,0
68,9011900128,14.1150922955264,-1.38755322108974,17.18926,17.193611,0.042473137,-19.298958,3.1219697,21.177765,21.802216,23.69018,0.40949392,208.42592,0.7885475,9.547616,0.21632516,-0.5896612,1,8,0
69,9011900133,13.9691240089167,-1.35886437351992,17.848558,17.791529,0.041055694,-18.706594,2.6862323,21.739319,22.938366,24.547464,0.16346508,246.76585,1.135189,9.571817,0.21928973,-1.0754632,1,7,0
70,9011900137,13.938870046724,-1.32459270790024,15.969647,15.931607,0.04588637,-20.570843,2.2919922,19.126682,20.422888,22.013369,0.43301708,156.15611,1.2652044,10.433659,0.22422138,0.57746094,1,7,0
71,9011900138,14.2145679155223,-1.27249826983344,14.51837,14.49469,0.04111345,-22.00349,5.6438327,18.805391,20.026554,21.631052,0.75137234,90.431015,1.1834011,10.941558,0.22827864,-1.0556552,1,7,0
72,9011900144,13.9403797206439,-1.16331001104596,16.73124,16.70476,0.04276648,-19.794458,5.2416654,21.068413,22.181326,23.810726,0.6694324,143.90047,1.0897255,9.972035,0.24100876,-0.48920512,1,7,0
73,9011900145,14.0642067526121,-1.09839659325539,17.775492,17.771582,0.045105126,-18.727842,2.80159,21.239178,22.492653,24.090828,0.5003417,209.54802,1.0407923,9.516817,0.24155179,0.31065828,1,7,0
74,9011900147,13.9194862596954,-1.31214547553653,14.510132,14.512312,0.043571375,-21.986885,7.5609317,20.704063,21.65486,23.335857,0.20568171,268.85672,1.0685577,10.839615,0.24334726,-0.21371315,1,8,0
75,9011900149,14.2259910928446,-1.25700975646362,17.620098,17.613289,0.051730137,-18.88175,2.7504063,21.75911,22.696402,24.382715,0.058643084,117.97052,0.7787838,9.3559475,0.24433693,2.566823,0,3,0
76,9011900150,14.1601065064299,-1.12598733440809,16.137064,16.116915,0.045282565,-20.384964,3.6578257,19.829426,21.006468,22.620377,0.64678514,238.12785,1.1854429,10.283888,0.2450915,0.371273,1,7,0
77,9011900152,13.9094434741456,-1.27946372942866,16.593176,16.592657,0.04419724,-19.89859,4.902653,21.671644,22.960041,24.551874,0.20842299,256.30276,0.6888752,9.703406,0.24539404,0.00035574008,1,8,0
78,9011900156,14.1606650520239,-1.39054478983117,15.192124,15.212355,0.044169135,-21.288553,5.2091393,20.517632,22.101173,23.654741,0.03307027,84.56374,1.2331057,10.693269,0.2528663,-0.009254326,1,7,0
79,9011900157,14.1222152513529,-1.09908839327125,17.420355,17.393295,0.04212071,-19.10528,1.8579507,20.494911,21.679508,23.291739,0.21972448,119.61284,1.097372,9.709981,0.2549278,-0.7103876,1,7,0
80,9011900161,13.9721654079719,-1.11654056010526,17.366854,17.339664,0.045454387,-19.16163,2.7781358,21.563423,22.513481,24.194765,0.018462926,107.62499,1.0969847,9.722659,0.2587846,0.42995882,1,7,0
81,9011900163,13.8982164826045,-1.23554297852263,17.041124,16.990255,0.041062918,-19.5075,3.4607008,21.066011,22.119778,23.765686,0.4279661,111.60816,1.1225204,9.899929,0.26163355,-1.0729859,1,7,0
82,9011900165,13.9093296960378,-1.18341326356847,17.0843,17.08807,0.040397268,-19.409468,2.6964734,20.606976,21.880678,23.47512,0.4220611,156.57083,1.1479149,9.8699465,0.26680982,-1.3013502,1,7,0
83,9011900166,14.2371066712426,-1.21185063162824,14.478201,14.458411,0.050021525,-22.035418,9.506497,21.28446,22.00776,23.810612,0.15445335,235.6344,0.773592,10.623631,0.26986203,1.9863261,1,8,0
84,9011900168,14.2440199853116,-1.2568858515511,16.191511,16.17119,0.044621002,-20.329998,2.6337173,20.164242,21.372496,22.97965,0.07438793,215.0127,1.1900282,10.276308,0.27206534,0.14522518,1,7,0
85,9011900169,14.0325173551853,-1.42970035266655,17.717072,17.727142,0.04636541,-18.772821,2.2379065,21.156246,22.241297,23.878185,0.25699627,241.44914,1.0298786,9.52414,0.27345222,0.7409583,1,7,0
86,9011900170,14.1250668756476,-1.08702782777093,16.906527,16.893616,0.04800878,-19.609842,1.9996977,19.775352,21.121286,22.70367,0.41863754,204.49965,1.1151924,9.912812,0.27389425,1.3012747,1,7,0
87,9011900174,14.1799066011338,-1.39593751945746,17.483356,17.491127,0.04565568,-19.007032,1.4553665,19.987143,20.748087,22.524925,0.31508192,191.69821,0.926958,9.523592,0.27722034,0.49869815,1,8,0
88,9011900175,14.2196501610932,-1.159170212797,15.464143,15.4018135,0.04577066,-21.1004,3.9398851,20.08489,21.543709,23.110619,0.18688865,159.08145,1.1803712,10.569044,0.27736506,0.5379571,1,7,0
89,9011900177,14.248505888345,-1.26509343333584,17.696753,17.704412,0.047310304,-18.797972,3.448427,20.696976,21.72572,23.37935,0.80481464,103.8361,1.0703601,9.55026,0.27935582,1.0632331,1,7,0
90,9011900178,13.923854756517,-1.36788331545108,17.651758,17.72819,0.04137403,-18.769709,3.128012,21.282652,22.43437,24.054123,0.5667309,116.34994,1.1123829,9.596442,0.28025883,-0.9663018,1,7,0
91,9011900183,14.1164503173078,-1.43529571004066,15.788057,15.730488,0.04506117,-20.770947,2.6013644,19.539494,20.953262,22.52591,0.1675161,94.37562,1.1741123,10.43958,0.28702024,0.2956414,1,7,0
92,9011900186,13.8846006557668,-1.21108105897017,16.368725,16.340496,0.04589949,-20.1614,4.012146,20.703978,21.693512,23.36024,0.46822014,111.37179,1.1212949,10.142353,0.28894347,0.58194,1,7,0
93,9011900189,13.8796596621666,-1.22344988980089,16.539656,16.505884,0.043020178,-19.993498,4.7924614,21.804855,22.910181,24.54157,0.012734736,146.86401,1.1127605,10.077732,0.29254502,-0.40234938,1,7,0
94,9011900193,14.0660669100866,-1.44668330043773,17.093006,17.093527,0.04628792,-19.407776,3.5853825,20.517534,21.51921,23.181747,0.7198084,266.21396,1.0890561,9.822715,0.29434717,0.7145159,1,7,0
95,9011900196,13.9394500428021,-1.39972372611392,16.995588,17.022728,0.04506361,-19.478811,2.099448,20.547361,21.668869,23.296057,0.06315629,180.88387,1.1604193,9.903426,0.29648894,0.29647505,1,7,0
96,9011900198,13.8785115416531,-1.29714558210139,16.887257,16.889828,0.04605186,-19.612654,3.6908588,21.304325,22.691332,24.267653,0.24277921,275.41583,1.2029667,9.997012,0.29718876,0.6339512,1,7,0
97,9011900201,14.0909943758564,-1.44943384143062,16.67222,16.648659,0.046205297,-19.853403,2.5663254,19.751083,21.139717,22.715807,0.5587111,176.67134,1.1255018,10.025073,0.3008183,0.68631965,1,7,0
98,9011900202,14.2197149334061,-1.13124609102938,16.736078,16.722248,0.047979586,-19.781364,4.8688407,21.592577,23.150433,24.706478,0.29005536,105.28599,1.1668644,10.034747,0.30255887,1.2913281,1,7,0
99,9011900208,14.2409768915176,-1.15804859773619,17.583279,17.536978,0.048020866,-18.964603,2.8357112,21.197048,22.190668,23.855974,0.5076271,117.834,1.0415325,9.60291,0.30645004,1.3053917,1,7,0
100,9011900210,14.1650538415704,-1.07849530025548,17.39303,17.37955,0.04447511,-19.121563,3.065284,20.905338,22.04375,23.666714,0.6091427,247.75014,1.1621246,9.75946,0.31101972,0.0953559,1,7,0
101,9011900211,14.0250373279512,-1.05711973289502,16.426243,16.369974,0.043176945,-20.129526,3.6567178,20.291576,21.445198,23.064499,0.68203765,117.525604,1.1399775,10.16206,0.31181827,-0.34868872,1,7,0
102,9011900212,14.1637248842726,-1.07703003310077,17.647694,17.568354,0.040238895,-18.92883,2.0618095,20.485113,21.575428,23.210863,0.49276724,107.348236,1.0900402,9.630335,0.31201568,-1.3557047,1,7,8
103,9011900216,14.0027462029505,-1.45089494085262,17.24825,17.23408,0.04495895,-19.267012,1.2455049,19.637278,20.93214,22.52285,0.07868851,166.25157,1.1203327,9.78694,0.31671268,0.2607154,1,7,0
104,9011900217,13.9566309482556,-1.08168385993166,16.394014,16.336884,0.04462412,-20.164396,1.6603447,18.527477,19.853401,21.438936,0.5825986,163.56763,1.20294,10.218373,0.31671542,0.14629093,1,7,0
105,9011900218,13.8624928779336,-1.22311759544403,17.367378,17.33994,0.04347191,-19.160196,1.8682791,19.458479,20.338425,22.049522,0.70584255,239.56651,1.1393642,9.758819,0.3186859,-0.24774577,1,7,0
106,9011900222,13.8686223026521,-1.32377012257115,17.690895,17.680685,0.039594978,-18.815994,1.5742042,20.198465,21.195343,22.859522,0.3772427,211.57654,1.0763016,9.569715,0.3229897,-1.5767845,1,7,0
107,9011900223,13.9795295701772,-1.06411699337477,15.410212,15.636822,0.044598095,-20.864367,13.792708,22.310318,24.057035,25.597555,0.17979708,154.09282,1.2125559,10.513957,0.32364872,0.13739565,1,7,1
108,9011900225,13.9402409640268,-1.08427763107061,16.935183,16.929653,0.042256873,-19.567152,3.780762,20.604767,21.2861,23.121767,0.7095991,207.59283,0.9987698,9.823764,0.32771844,-0.6637392,1,8,0
109,9011900228,14.2624709098793,-1.3450606784397,17.0782,17.05852,0.03863759,-19.436932,3.5340574,20.862253,21.808565,23.491308,0.6132535,236.60904,1.0297832,9.786595,0.3306063,-1.9057416,1,7,0
110,9011900229,14.2428406145516,-1.37937910477412,16.530645,16.537325,0.04924756,-19.96739,4.7339673,21.309416,22.360188,24.006996,0.4202841,243.60202,1.1450348,10.080228,0.33079994,1.7230583,1,7,0
111,9011900232,14.2377065878968,-1.38888619425319,15.677137,15.706967,0.043496758,-20.793186,6.87261,20.28755,21.501411,23.107405,0.76527965,234.9855,1.1457577,10.419224,0.33319378,-0.23924369,1,7,0
112,9011900233,13.8553290674142,-1.30889329670232,14.814117,14.793787,0.041511957,-21.704681,13.303133,21.868093,23.720287,25.254366,0.08512597,258.56387,1.2375069,10.868855,0.33605817,-0.91901606,1,7,0
113,9011900238,13.9790752732347,-1.04964274647599,17.75348,17.698631,0.041726142,-18.799402,2.9153605,21.583412,22.857763,24.45209,0.26535112,210.37479,1.0520287,9.54484,0.34429458,-0.84559774,1,7,0
114,9011900241,14.2671747700862,-1.15194138241605,17.315292,17.309341,0.04875785,-19.19423,2.9583259,21.733606,22.660093,24.350796,0.00055835437,93.84365,1.0826607,9.717278,0.34639177,1.5563807,1,7,0
115,9011900242,13.845674349621,-1.21122028573456,15.805704,15.788465,0.041773867,-20.710232,5.099615,20.931114,21.843792,23.540285,0.3569509,246.79303,1.1640091,10.409188,0.34737548,-0.8292408,1,7,0
116,9011900244,13.912343292509,-1.42092180976081,17.702017,17.710207,0.04117863,-18.7878,3.0322104,21.215956,21.982307,23.755646,0.6133451,239.46057,1.0793495,9.558158,0.34867278,-1.0333036,1,7,0
117,9011900245,14.2934751774921,-1.29229385936261,17.596756,17.609377,0.039801903,-18.886919,2.2465649,21.045855,21.931822,23.640137,0.29248288,250.2629,1.059124,9.598429,0.35272804,-1.5057249,1,7,0
118,9011900247,13.8730087494815,-1.1327814166897,15.327696,15.164876,0.039605524,-21.331831,3.706923,18.743105,20.066332,21.652304,0.71786183,92.87851,1.215972,10.700006,0.35320204,-1.5731624,1,7,0
119,9011900250,14.1154425496897,-1.02403378811293,16.555813,16.505653,0.04639718,-19.996595,2.2155454,19.135962,20.380108,21.980062,0.6402881,106.8626,1.1280575,10.083936,0.36358872,0.75179857,1,7,0
120,9011900251,13.939929663257,-1.05483238483225,17.114885,17.086706,0.044032596,-19.413797,3.8791451,21.540518,22.925713,24.502289,0.24107006,165.26114,1.133009,9.856388,0.36536208,-0.055946153,1,7,0
121,9011900254,13.8285183175178,-1.27717029566239,13.758838,13.626788,0.044888865,-22.874771,11.838482,20.50113,22.080217,23.634207,0.18684743,271.1386,1.2437553,11.338645,0.36858332,0.23676796,1,7,0
122,9011900256,14.1654526827308,-1.4748566486843,16.194304,16.148302,0.04300244,-20.351135,2.1837852,19.637234,21.062523,22.63365,0.10462718,95.05821,1.1363848,10.244798,0.36999252,-0.40842086,1,7,0
123,9011900258,14.168109170566,-1.03453734378951,18.57744,18.45387,0.05259305,-18.04996,8.903286,21.93588,22.201391,24.979868,0.6216699,257.83072,0.9351883,9.116578,0.37356895,2.8596323,0,3,0
124,9011900261,14.1703401146999,-1.03452037095126,15.584435,15.499295,0.04428264,-21.00172,3.3948977,19.694098,21.26196,22.817024,0.25393128,222.35606,1.2222548,10.568536,0.37503222,0.029556187,1,7,0
125,9011900263,13.8246168050592,-1.28625893106004,16.574314,16.371202,0.04532706,-20.13075,1.7963008,19.426336,20.486448,22.130472,0.3117703,196.3748,1.2359924,10.231358,0.37606943,0.3864712,1,7,0
126,9011900264,13.8227078133819,-1.23234497958409,17.808895,17.860096,0.0439618,-18.640053,2.8149967,21.029646,22.009327,23.679554,0.6080069,115.833595,1.1368752,9.560537,0.3776599,-0.08015819,1,7,0
127,9011900265,14.3109445776211,-1.28577369082357,15.171361,15.102681,0.043227453,-21.397211,5.822969,20.386343,21.603306,23.20866,0.3801695,201.82199,1.1546154,10.67285,0.3779007,-0.331402,1,7,0
128,9011900266,13.8577487186249,-1.38391863112819,16.786325,16.800016,0.04599469,-19.702406,3.0886655,21.004044,22.253933,23.852787,0.16921838,154.51651,1.1649837,9.991566,0.3779618,0.6144375,1,7,0
