,catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
14,91473,212.24962029,0.44685817,212.24962029,0.44685817,17.057,17.049,0.02614,0.02521,-18.26,2.59,21.01,21.01,nan,0.3383,134.43,9.04,0.63,0.145,8,0
15,760733,183.976149,0.08568213,183.976149,0.08568213,19.867,18.41,0.04171,0.04049,nan,1.71,21.08,21.08,nan,0.5538,172.21,9.15,0.97,0.08,8,0
16,177326,176.33025409,-1.87229199,176.33025409,-1.87229199,19.612,19.185,0.02822,0.02696,-16.36,4.21,25.35,25.35,nan,0.4425,4.130005,8.48,0.83,0.064,8,0
17,491956,214.0650715,-1.46462571,214.0650715,-1.46462571,16.893,16.301,0.03722,0.03634,-19.81,1.26,20.13,20.13,nan,0.46,64.840004,9.04,-0.11,0.193,8,0
18,8036,180.35528614,0.8094231,180.35528614,0.8094231,18.283,15.415,0.09992,0.09861,-22.86,3.01,21.3,21.31,nan,0.7142,107.350006,10.95,0.85,0.082,4,1
19,271535,174.66791554,1.29684872,174.66791554,1.29684872,19.184,18.429,0.07767,0.07637,-19.62,15.86,23.3,23.33,nan,0.7199,35.79,10.32,1.5,0.095,3,1
20,619553,220.38654101,0.3240292,220.38654101,0.3240292,18.686,18.691,0.02976,0.029,-16.85,5.52,24.72,24.75,nan,0.7555,154.14,8.22,0.35,0.179,8,0
21,319019,213.3031281,1.78377809,213.3031281,1.78377809,18.788,16.046,0.0498,0.0489,-20.71,3.77,22.88,22.99,27.37,0.2215,111.25,10.04,0.71,0.198,8,3
22,513065,221.58626323,-1.08968167,221.58626323,-1.08968167,18.362,16.907,0.02956,0.02882,-18.63,0.17,15.67,15.78,20.11,0.9307,147.7,8.73,0.09,0.183,8,3
23,346376,133.45370003,2.12396263,133.45370003,2.12396263,19.576,16.937,0.078,0.07692,nan,1.89,21.69,21.86,25.51,0.7217,68.869995,10.95,2.19,0.145,8,1
24,143148,174.24378143,-1.39566123,174.24378143,-1.39566123,19.651,19.235,0.02811,0.02685,-16.26,2.43,22.4,22.57,26.19,0.6914,29.690002,8.32,0.71,0.09,8,0
25,136524,175.3846269,-1.64593882,175.3846269,-1.64593882,19.449,18.358,0.07898,0.07767,-19.69,3.07,21.85,22.08,25.13,0.8455,125.130005,10.46,1.9,0.057,3,1
26,513001,221.3691206,-1.16087748,221.3691206,-1.16087748,18.095,18.118,0.04217,0.04141,-18.26,1.74,20.59,20.83,23.79,0.5676,134.03,9.02,0.64,0.174,8,0
27,417678,132.73821727,2.34617275,132.73821727,2.34617275,16.114,16.103,0.04047,0.03944,-20.2,4.33,19.7,19.95,22.84,0.8183,6.279999,10.11,1.02,0.113,8,0
28,957641,222.43232265,-0.77755943,222.43232265,-0.77755943,19.844,15.326,0.07237,0.07161,-22.19,30.72,24.64,24.9,27.77,0.8935,105.65,10.53,0.61,0.172,3,1
29,346567,134.28374055,2.02134458,134.28374055,2.02134458,19.198,18.696,0.04468,0.04363,-17.97,1.81,21.27,21.53,24.37,0.7259,73.140015,9.26,0.94,0.148,8,1
30,623790,140.38271463,0.74770865,140.38271463,0.74770865,16.957,16.912,0.0891,0.08793,-21.21,3.56,21.31,21.57,24.39,0.4787,164.64001,10.4,0.95,0.117,3,0
31,272328,178.80178506,1.29222658,178.80178506,1.29222658,17.56,17.562,0.04865,0.0474,-19.14,2.02,20.3,20.57,23.33,0.5647,10.919998,9.43,0.72,0.073,3,0
32,508937,219.08331905,-1.44215218,219.08331905,-1.44215218,17.86,16.408,0.05752,0.05671,-20.68,3.15,20.01,20.28,23.04,0.6456,109.659996,10.03,0.71,0.151,8,1
33,561641,184.36861833,-0.478232,184.36861833,-0.478232,19.261,17.644,0.0308,0.02959,-18.0,2.74,20.31,20.59,23.32,0.7822,134.12001,8.63,0.28,0.085,3,0
34,38992,174.39044542,-0.81497529,174.39044542,-0.81497529,17.141,17.171,0.04525,0.04398,-19.37,5.41,21.25,21.52,24.24,0.796,159.13,9.71,0.96,0.07,3,0
35,299032,223.00719609,1.17901993,223.00719609,1.17901993,18.732,18.706,0.0395,0.03878,-17.49,1.86,20.38,20.66,23.35,0.808,113.01,8.74,0.67,0.166,3,0
36,227753,214.83416605,1.16516327,214.83416605,1.16516327,15.675,15.624,0.00964,0.00806,-17.46,2.07,20.69,20.97,23.65,0.6028,106.05,8.56,0.43,0.151,8,0
37,39132,175.29911721,-0.72427725,175.29911721,-0.72427725,19.786,18.25,0.02917,0.02792,-17.31,7.43,23.87,24.16,26.83,0.3934,126.240005,8.92,0.96,0.07,8,3
38,63237,215.08172822,-0.29471279,215.08172822,-0.29471279,17.387,17.393,0.05259,0.05171,-19.46,2.14,20.97,21.3,23.8,0.2049,105.32001,9.53,0.7,0.159,3,0
39,375934,131.36320386,1.46509574,131.36320386,1.46509574,18.806,18.582,0.04284,0.04182,-17.96,2.33,21.7,22.03,24.51,0.6743,105.78001,8.99,0.68,0.14,3,0
40,573736,129.85892654,-0.19714267,129.85892654,-0.19714267,17.389,17.39,0.05205,0.05104,-19.46,2.57,20.82,21.15,23.61,0.5059,169.78,9.44,0.57,0.13,3,0
41,365324,139.2696193,2.61000371,139.2696193,2.61000371,17.744,17.725,0.09212,0.09096,-20.46,5.54,21.4,21.73,24.18,0.865,11.720001,10.33,1.25,0.111,3,0
42,137072,177.076393,-1.64189148,177.076393,-1.64189148,17.923,15.876,0.01522,0.01285,-18.18,2.1,21.08,21.42,23.87,0.5595,165.15,8.7,0.27,0.077,8,3
43,324753,137.11754899,1.87918343,137.11754899,1.87918343,18.883,18.884,0.04009,0.03901,-17.41,1.77,21.41,21.75,24.19,0.5477,131.45,8.65,0.58,0.123,3,0
44,372727,137.29000938,1.15764301,137.29000938,1.15764301,19.311,18.509,0.05671,0.05561,-18.6,2.33,22.56,22.91,25.34,0.4231,63.680008,9.62,1.2,0.14,3,0
45,388506,140.43338028,2.51444202,140.43338028,2.51444202,19.499,16.788,0.08549,0.08432,-21.34,1.59,22.59,22.94,25.35,0.01,140.63,11.19,1.71,0.154,8,1
46,302973,140.08648012444442,1.4100473,140.08578568,1.4100473,18.562,18.176,0.02755,0.02651,-17.21,3.19,22.04,22.39,24.79,0.5171,113.52,8.33,0.29,0.108,8,5
47,48740,218.42739216,-0.80048584,218.42739216,-0.80048584,16.679,16.684,0.05703,0.05621,-20.39,2.42,19.94,20.29,22.69,0.5469,17.100006,10.01,0.84,0.16,8,0
48,347263,136.99176202,2.27054564,136.99176202,2.27054564,16.149,16.14,0.027,0.02602,-19.22,5.1,21.18,21.53,23.92,0.4603,179.54999,9.48,0.71,0.158,8,0
49,485740,217.18059845,-1.69808331,217.18059845,-1.69808331,19.094,16.147,0.07433,0.07347,-21.54,2.98,22.0,22.35,24.74,0.7444,147.69,10.46,0.85,0.202,3,3
50,567983,213.7196795,-0.42616554,213.7196795,-0.42616554,18.19,18.193,0.0294,0.02853,-17.36,2.95,21.45,21.81,24.19,0.6957,83.17999,8.53,0.47,0.162,8,0
51,296583,212.37377961,1.47302145,212.37377961,1.47302145,17.498,17.496,0.05746,0.05654,-19.58,1.16,19.91,20.27,22.65,0.0263,167.74,9.64,0.77,0.147,3,0
52,32295,184.07739305,-1.06923279,184.07739305,-1.06923279,17.36,17.228,0.03276,0.03155,-18.57,4.47,22.46,22.82,25.19,0.7405,31.209991,9.1,0.57,0.079,8,0
53,23669,182.65519906,1.06494185,182.65519906,1.06494185,17.206,17.159,0.02315,0.0216,-17.84,2.98,23.16,23.52,25.88,0.5622,9.269989,8.75,0.51,0.107,8,0
54,386515,132.62286344,2.18549516,132.62286344,2.18549516,19.654,19.582,0.00822,0.00757,nan,1.49,22.57,22.94,25.27,0.1507,153.72,7.85,1.58,0.117,8,1
55,594964,222.66109306,-0.12232234,222.66109306,-0.12232234,18.268,18.215,0.0431,0.04236,-18.16,3.22,21.47,21.84,24.16,0.7314,66.54999,8.92,0.57,0.171,3,0
56,377669,138.49251423,1.6486542,138.49251423,1.6486542,18.178,16.683,0.05812,0.057,-20.41,3.38,22.22,22.6,24.91,0.4177,61.839996,9.87,0.66,0.138,3,3
57,491743,213.12766413,-1.40597634,213.12766413,-1.40597634,16.258,16.134,0.01872,0.01728,-18.39,4.49,21.13,21.51,23.81,0.4201,5.4400024,9.05,0.58,0.238,8,0
58,239249,217.01837565,1.63906305,217.01837565,1.63906305,16.885,16.931,0.02983,0.02901,-18.65,3.46,20.25,20.64,22.93,0.7536,126.02,9.36,0.84,0.118,8,0
59,595027,223.1331309,-0.16634394,223.1331309,-0.16634394,16.498,16.479,0.0432,0.04247,-19.97,7.16,21.24,21.62,23.91,0.794,115.909996,9.88,0.86,0.197,8,0
60,250047,213.76316426,1.99077081,213.76316426,1.99077081,17.016,16.974,0.08595,0.08503,-21.07,3.59,20.24,20.63,22.91,0.7839,108.79,10.47,1.14,0.184,3,0
61,230270,179.09134719,1.87642021,179.09134719,1.87642021,16.871,16.884,0.07999,0.0787,-21.04,4.67,20.84,21.23,23.51,0.7459,72.65001,10.51,1.19,0.085,3,0
62,382630,137.70410609,1.93683577,137.70410609,1.93683577,17.099,17.104,0.05674,0.05563,-19.95,3.69,21.42,21.81,24.08,0.4322,178.91,9.97,1.01,0.096,3,0
63,570141,222.29101364,-0.6087928,222.29101364,-0.6087928,17.514,17.848,0.02835,0.02764,-17.61,2.67,21.64,22.03,24.3,0.3504,8.079987,8.48,0.3,0.179,8,1
64,208578,129.55916312,0.12287978,129.55916312,0.12287978,17.657,17.501,0.0525,0.05149,-19.41,5.08,21.21,21.61,23.87,0.8439,51.619995,9.87,1.14,0.163,3,0
65,619940,222.32062581,0.31077768,222.32062581,0.31077768,17.014,16.964,0.0568,0.05605,-20.09,5.2,21.09,21.49,23.75,0.7749,34.850006,9.75,0.65,0.173,3,0
66,227818,214.94394069,1.1468923,214.94394069,1.1468923,16.47,16.489,0.05454,0.05366,-20.45,4.02,21.53,21.93,24.19,0.0845,127.2,9.89,0.65,0.151,3,0
67,220319,180.99245368,1.48277611,180.99245368,1.48277611,18.012,17.931,0.02236,0.02071,-16.99,4.94,23.09,23.49,25.75,0.2115,55.910004,8.57,0.68,0.084,8,0
68,485413,215.53479468,-1.85977124,215.53479468,-1.85977124,17.19,17.238,0.03562,0.03476,-18.74,3.14,20.41,20.81,23.06,0.7525,37.950012,9.63,1.15,0.179,8,0
69,513018,221.3322165,-1.09721747,221.3322165,-1.09721747,18.729,18.602,0.02779,0.02706,-16.78,3.42,22.0,22.4,24.65,0.7306,44.339996,8.29,0.47,0.165,8,0
70,228428,217.30669011,1.07186204,217.30669011,1.07186204,16.581,16.599,0.03773,0.03691,-19.47,3.65,20.49,20.89,23.14,0.6254,65.09999,9.52,0.63,0.128,8,0
71,623579,139.52751115,0.70709362,139.52751115,0.70709362,18.899,18.541,0.05891,0.05778,-18.67,4.59,22.28,22.68,24.92,0.8059,93.909996,9.56,1.1,0.123,3,0
72,371644,132.24732376,0.94206297,132.24732376,0.94206297,18.548,17.224,0.10595,0.10486,-21.4,1.96,21.39,21.8,24.04,0.4871,146.75,11.12,1.97,0.132,4,1
73,546071,222.94483997,-0.94497658,222.94483997,-0.94497658,18.003,18.22,0.04389,0.04316,-18.21,2.25,21.75,22.15,24.39,0.4394,37.929993,8.72,0.28,0.161,3,0
74,22178,176.25171663,1.17860017,176.25171663,1.17860017,18.363,18.341,0.02963,0.02839,-17.2,3.64,22.73,23.13,25.37,0.3444,16.5,8.36,0.34,0.074,8,0
75,622211,131.92699191,0.68221988,131.92699191,0.68221988,17.691,17.645,0.04644,0.04541,-18.94,5.15,21.17,21.58,23.81,0.8646,76.380005,9.53,0.95,0.155,3,0
76,397122,176.78415679,1.51989337,176.78415679,1.51989337,18.558,17.15,0.10286,0.10154,-21.42,3.18,21.97,22.38,24.6,0.2527,114.33,10.98,1.48,0.084,4,1
77,218681,139.25054316,0.84407294,139.25054316,0.84407294,16.211,16.217,0.03912,0.03801,-20.0,5.22,20.41,20.82,23.04,0.7477,47.399994,9.91,0.88,0.101,8,0
78,569965,221.44174911,-0.54146276,221.44174911,-0.54146276,17.385,17.273,0.02989,0.02914,-18.33,5.91,21.72,22.14,24.35,0.7489,152.23999,9.09,0.67,0.136,8,0
79,301182,132.6336096,1.12447514,132.6336096,1.12447514,18.343,18.343,0.04313,0.0421,-18.05,3.15,22.1,22.51,24.72,0.5552,84.850006,8.68,0.34,0.158,3,0
80,422486,131.17992357333333,2.572460492222222,131.18034024,2.57273827,17.268,17.28,0.02704,0.02615,-18.08,3.76,21.78,22.2,24.41,0.4249,24.559998,8.78,0.42,0.14,8,5
81,106387,215.87793411,0.9184424,215.87793411,0.9184424,18.224,18.261,0.0403,0.03945,-18.02,2.65,20.7,21.12,23.33,0.812,124.32,8.68,0.33,0.108,3,0
82,220951,184.03379738,1.61064705,184.03379738,1.61064705,17.255,17.217,0.05101,0.04978,-19.6,3.61,20.57,20.99,23.19,0.7569,159.83,9.74,0.89,0.094,3,0
83,422921,132.85921906,2.68172647,132.85921906,2.68172647,18.925,18.86,0.02953,0.02853,-16.69,3.28,22.05,22.48,24.67,0.7471,71.04001,8.29,0.5,0.121,8,0
84,543491,211.82756468,-1.01334781,211.82756468,-1.01334781,17.563,17.616,0.03616,0.03525,-18.4,5.03,21.47,21.89,24.09,0.8202,140.91,9.02,0.55,0.223,8,0
85,227428,213.4402437,1.18032315,213.4402437,1.18032315,16.693,16.709,0.05546,0.05456,-20.29,3.06,20.75,21.17,23.37,0.3731,111.159996,10.01,0.87,0.144,8,0
86,65395,222.91869764,-0.30735352,222.91869764,-0.30735352,17.273,17.255,0.08418,0.08342,-20.8,3.57,21.38,21.81,24.0,0.6392,35.39,10.44,1.22,0.195,3,0
87,575423,139.73830867,-0.17495852,139.73830867,-0.17495852,18.281,18.282,0.05395,0.05282,-18.68,3.95,21.69,22.11,24.3,0.8,60.450012,9.64,1.22,0.117,3,0
88,619937,222.23369312,0.28878659,222.23369312,0.28878659,17.868,17.87,0.0571,0.05635,-19.21,1.93,20.41,20.84,23.03,0.6098,150.17,9.51,0.8,0.17,3,0
89,209214,132.34627958,0.19295441,132.34627958,0.19295441,18.621,18.29,0.05402,0.05298,-18.75,1.62,20.54,20.97,23.16,0.7019,2.4400024,9.65,1.12,0.147,3,1
90,214718,131.04333383,0.46178989,131.04333383,0.46178989,19.79,18.9,0.05201,0.05099,nan,2.12,23.2,23.62,25.81,0.292,172.98999,9.95,1.67,0.136,3,1
91,321034,220.85203671,1.7338788,220.85203671,1.7338788,19.329,17.414,0.10416,0.10335,-21.51,1.54,22.05,22.48,24.66,0.2908,142.84,11.32,2.58,0.141,4,1
92,623747,140.2955394,0.81746509,140.2955394,0.81746509,17.445,17.447,0.08909,0.08792,-20.73,3.75,20.92,21.35,23.53,0.7567,129.05,10.44,1.29,0.129,3,0
93,568991,217.1890051,-0.49165202,217.1890051,-0.49165202,17.641,17.636,0.03096,0.03014,-18.04,2.76,20.67,21.1,23.28,0.703,12.279999,8.73,0.39,0.155,3,0
94,137809,179.68943657,-1.80598682,179.68943657,-1.80598682,16.573,16.611,0.08921,0.0879,-21.57,3.97,20.51,20.94,23.11,0.6844,26.029999,10.73,1.21,0.125,3,0
95,509577,222.00442733,-1.41489228,222.00442733,-1.41489228,18.703,18.57,0.044,0.04325,-17.87,2.13,21.93,22.37,24.53,0.3362,176.86,8.64,0.37,0.189,3,0
96,585581,183.40662026,-0.16366186,183.40662026,-0.16366186,19.745,19.732,0.04282,0.04159,-16.74,1.79,21.82,22.25,24.42,0.6965,111.06999,9.22,1.88,0.08,8,6
97,599848,132.68254578,0.3989685,132.68254578,0.3989685,17.7,17.766,0.05292,0.05187,-19.11,2.5,21.81,22.25,24.41,0.0375,33.380005,9.54,0.89,0.154,3,0
98,600026,133.48520203,0.21556504,133.48520203,0.21556504,15.843,15.639,0.0519,0.05084,-21.21,4.46,20.87,21.31,23.48,0.276,80.06999,10.28,0.76,0.166,8,0
99,176812,174.24690232,-1.87473295,174.24690232,-1.87473295,17.223,17.236,0.04907,0.04779,-19.5,5.17,21.05,21.48,23.65,0.8161,119.28,9.77,0.97,0.085,3,0
100,62954,213.87221642,-0.25669488,213.87221642,-0.25669488,18.61,18.449,0.02665,0.02577,-16.89,3.58,22.34,22.78,24.94,0.6429,128.18,8.23,0.32,0.157,8,0
101,145511,185.00041773,-1.29265362,185.00041773,-1.29265362,18.76,17.936,0.089,0.08773,-20.45,2.07,20.77,21.21,23.37,0.7859,70.76001,10.56,1.41,0.098,3,1
102,214623,130.86216688,0.44398108,130.86216688,0.44398108,17.741,17.696,0.05178,0.05076,-19.13,5.23,21.57,22.01,24.16,0.816,127.24,9.57,0.9,0.134,3,0
103,377459,137.71353085,1.54160617,137.71353085,1.54160617,17.112,17.035,0.09383,0.09268,-21.23,5.01,20.72,21.16,23.32,0.8302,55.28,10.53,1.14,0.107,3,0
104,301799,135.29139512,1.37865657,135.29139512,1.37865657,17.218,17.243,0.0525,0.05142,-19.63,2.97,20.76,21.2,23.35,0.6073,149.38,9.88,1.04,0.21,3,0
105,485610,216.68841834,-1.8595187,216.68841834,-1.8595187,16.701,16.735,0.08321,0.08233,-21.21,3.3,20.6,21.04,23.19,0.5486,173.48001,10.35,0.89,0.186,3,0
106,215051,132.6666115,0.56999879,132.6666115,0.56999879,16.788,16.759,0.04612,0.04508,-19.81,9.51,21.69,22.14,24.29,0.8585,91.8,9.64,0.65,0.161,3,0
107,558861,174.25696862,-0.51196465,174.25696862,-0.51196465,17.593,17.628,0.02117,0.01936,-17.18,5.6,21.93,22.37,24.52,0.8185,96.82,8.64,0.69,0.076,8,0
108,210781,139.64823938,0.05988045,139.64823938,0.05988045,16.379,16.372,0.05655,0.05542,-20.69,4.34,21.35,21.79,23.94,0.2407,92.03,10.22,0.95,0.119,8,0
109,227964,215.52718349,1.1629066,215.52718349,1.1629066,17.34,17.352,0.05584,0.05497,-19.67,2.38,21.23,21.68,23.82,0.1648,140.38998,9.49,0.53,0.136,3,0
110,619220,218.88184613,0.34229563,218.88184613,0.34229563,16.587,16.321,0.03545,0.03465,-19.64,5.09,21.0,21.45,23.59,0.6372,86.71001,9.34,0.35,0.148,8,0
111,278918,134.33434797,0.79323991,134.33434797,0.79323991,18.301,18.128,0.04278,0.04172,-18.26,4.49,23.24,23.69,25.83,0.2439,173.57,8.86,0.44,0.155,3,0
112,64127,218.30260042,-0.25918794,218.30260042,-0.25918794,17.98,17.988,0.03091,0.03011,-17.68,3.56,21.88,22.33,24.47,0.5873,38.47,8.88,0.74,0.157,3,0
113,16487,219.03513003,0.7460916,219.03513003,0.7460916,17.883,17.865,0.05662,0.05581,-19.17,3.57,21.44,21.89,24.03,0.7084,89.630005,9.66,1.02,0.159,3,0
114,545411,219.37551783,-0.84076937,219.37551783,-0.84076937,16.653,16.644,0.05152,0.05072,-20.18,3.6,21.24,21.68,23.83,0.29,140.26,9.86,0.75,0.152,3,0
115,618084,214.24046411,0.25193995,214.24046411,0.25193995,17.747,17.761,0.054,0.05311,-19.19,1.85,21.05,21.5,23.64,0.16,118.49,9.42,0.7,0.135,3,0
116,227168,212.46811562,1.30502461,212.46811562,1.30502461,18.831,18.806,0.0265,0.02559,-16.54,2.19,21.87,22.32,24.46,0.5131,156.2,8.22,0.47,0.159,8,0
117,14460,211.5236487,0.63505084,211.5236487,0.63505084,18.319,18.267,0.03186,0.03095,-17.47,4.35,22.59,23.04,25.17,0.6193,107.94,8.65,0.56,0.162,3,0
118,298767,221.66277098,1.25734206,221.66277098,1.25734206,18.19,18.2,0.05028,0.04952,-18.59,2.08,20.32,20.78,22.91,0.7653,78.40997,9.4,0.96,0.166,3,0
119,346842,135.24349126,2.1944591,135.24349126,2.1944591,16.778,16.742,0.05882,0.05774,-20.4,8.37,21.41,21.87,24.0,0.8546,36.679993,10.04,0.87,0.169,8,0
120,417975,134.47826381,2.55015824,134.47826381,2.55015824,19.184,18.098,0.0134,0.01269,-15.73,1.75,23.58,24.04,26.16,0.6996,112.71999,8.05,0.65,0.147,8,1
121,49363,220.73597626,-0.81084187,220.73597626,-0.81084187,17.23,17.203,0.04576,0.04499,-19.32,3.23,21.69,22.15,24.27,0.1691,9.389999,9.41,0.59,0.145,3,0
122,514167,139.72040628,2.67120798,139.72040628,2.67120798,19.799,19.9,0.04406,0.04295,nan,1.39,22.23,22.68,24.81,0.3544,116.229996,8.89,1.36,0.145,3,6
123,484771,212.45316092,-1.91296739,212.45316092,-1.91296739,17.741,17.613,0.02986,0.02896,-17.97,4.01,22.46,22.92,25.04,0.5036,46.839996,8.84,0.54,0.235,8,0
124,560114,179.3229878,-0.58047379,179.3229878,-0.58047379,18.811,17.402,0.10973,0.1084,-21.47,3.16,21.6,22.06,24.18,0.7968,64.67,11.22,2.21,0.086,4,1
125,508938,219.08256776,-1.44179326,219.08256776,-1.44179326,16.772,16.408,0.05712,0.05631,-20.66,3.13,20.41,20.87,22.99,0.5954,108.18001,10.03,0.71,0.151,8,0
126,298042,218.06603545,1.45704372,218.06603545,1.45704372,17.124,17.073,0.02827,0.02748,-18.38,6.58,21.36,21.82,23.94,0.8444,134.56,9.07,0.63,0.17,8,0
127,196804,132.72404029,-0.63573944,132.72404029,-0.63573944,18.859,18.209,0.01564,0.01497,-16.01,3.51,23.19,23.65,25.76,0.1876,47.059998,8.25,0.7,0.102,8,0
128,302848,139.6816409,1.3947378,139.6816409,1.3947378,15.85,15.813,0.03849,0.03738,-20.36,10.28,21.11,21.57,23.68,0.8272,90.58,9.84,0.6,0.094,8,1
129,599873,132.83514444,0.37266322,132.83514444,0.37266322,18.499,18.041,0.03733,0.0363,-18.07,2.01,20.5,20.96,23.07,0.6834,140.31,9.0,0.69,0.141,8,0
130,620087,223.16616006,0.39447445,223.16616006,0.39447445,17.506,17.127,0.04391,0.04318,-19.34,5.57,21.68,22.14,24.25,0.7264,21.910004,9.37,0.53,0.171,8,0
131,345526,129.91822359,1.96164098,129.91822359,1.96164098,16.36,16.302,0.07432,0.07329,-21.38,2.62,20.54,21.0,23.11,0.1016,60.23999,10.42,0.88,0.318,3,0
132,377349,137.36979944,1.63885412,137.36979944,1.63885412,16.531,16.48,0.05705,0.05595,-20.58,6.48,21.63,22.09,24.2,0.6001,162.33,10.09,0.85,0.116,8,0
133,381339,132.2272935,1.93217418,132.2272935,1.93217418,18.49,18.364,0.03826,0.03724,-17.74,5.21,22.18,22.65,24.75,0.8226,100.35,8.77,0.59,0.132,3,0
134,323721,132.82559801,1.63470592,132.82559801,1.63470592,18.645,18.674,0.03916,0.03813,-17.56,2.62,21.85,22.32,24.42,0.6152,70.09,8.69,0.57,0.14,3,0
135,215834,135.49400691,0.58929939,135.49400691,0.58929939,19.431,19.255,0.04138,0.04031,nan,2.7,22.41,22.88,24.98,0.6604,156.18,8.64,0.79,0.144,3,0
136,511934,216.69655629,-1.17012239,216.69655629,-1.17012239,18.502,18.499,0.03631,0.03547,-17.49,2.61,21.7,22.17,24.27,0.5936,12.930008,8.65,0.56,0.143,3,0
137,323281,131.24377506,1.6744312,131.24377506,1.6744312,17.017,17.024,0.07144,0.0704,-20.6,3.26,20.15,20.62,22.72,0.772,12.019989,10.34,1.18,0.196,3,0
138,321022,220.702086,1.63976897,220.702086,1.63976897,18.208,18.164,0.02709,0.02635,-17.18,3.72,21.8,22.27,24.37,0.7072,63.690002,8.47,0.48,0.146,8,0
139,24414,185.53729324,1.11275476,185.53729324,1.11275476,18.202,18.223,0.02429,0.02288,-16.93,4.91,23.3,23.77,25.87,0.2963,2.050003,8.35,0.46,0.086,8,0
140,22962,179.72105335,1.19802883,179.72105335,1.19802883,17.495,17.501,0.04916,0.04791,-19.21,2.69,21.6,22.07,24.17,0.064,129.29001,9.46,0.73,0.068,3,0
141,15561,216.04913952,0.79112729,216.04913952,0.79112729,18.877,18.878,0.02949,0.02866,-16.66,1.61,21.56,22.03,24.13,0.3605,147.98,8.26,0.48,0.101,8,0
142,567876,213.51307307,-0.45986511,213.51307307,-0.45986511,18.971,18.941,0.02656,0.02567,-16.41,1.93,21.68,22.15,24.24,0.5358,33.809998,8.32,0.66,0.167,8,0
143,237809,212.42078282,1.77792461,212.42078282,1.77792461,18.932,17.577,0.10616,0.1052,-21.32,1.98,21.48,21.95,24.04,0.6487,10.809998,11.0,1.48,0.138,4,1
144,323575,132.25577133,1.5739509,132.25577133,1.5739509,17.804,17.454,0.04434,0.04331,-19.05,6.43,21.3,21.77,23.86,0.9007,16.520004,9.6,0.95,0.141,8,0
145,49090,219.60501249,-0.67838792,219.60501249,-0.67838792,16.865,16.811,0.07313,0.07231,-20.86,4.14,21.83,22.31,24.4,0.2361,101.51,10.38,1.09,0.142,3,0
146,289176,181.24266021,1.75126382,181.24266021,1.75126382,18.821,18.839,0.02094,0.01906,-15.94,1.25,21.34,21.82,23.91,0.0477,134.18,8.49,1.11,0.081,8,0
